nightly_fee,cleaning_fee,occupancy_tax_rate,avg_rating,reviews,city,max_capacity
76,41,0.08,4.96,803,Port Sylvester,7
108,68,0.08,1.12,321,Lake Delia,9
94,50,0.10,4.67,315,Cassinbury,4
175,52,0.12,2.43,406,Lake Stellaborough,2
246,28,0.11,2.58,779,Gloverchester,8
70,72,0.10,0.69,207,Binsview,9
248,28,0.10,2.94,280,North Antonioton,7
93,56,0.09,4.09,926,West Darwinborough,8
246,52,0.10,0.88,38,Williamsonbury,2
129,54,0.09,3.51,866,East Danykaberg,3
337,46,0.12,1.38,287,East Lina,8
104,24,0.10,4.4,204,Cieloside,6
136,25,0.11,0.43,70,Port Justus,4
217,59,0.11,3.16,328,West Sadietown,5
78,43,0.08,2.96,117,Littelmouth,7
265,78,0.09,0.26,130,Luzstad,9
213,51,0.08,2.67,827,Arloton,2
340,78,0.11,1.32,84,Sebastianmouth,3
134,52,0.09,0.76,706,New Elmer,6
96,43,0.11,2.14,242,South Eudorabury,8
242,28,0.10,3.51,11,Altenwerthmouth,7
106,64,0.10,5,936,South Zoraborough,5
298,75,0.12,0.56,822,Bartolettishire,7
231,71,0.12,2.23,820,New Beatrice,6
231,68,0.12,2.26,123,Turcotteland,5
259,80,0.08,1.56,152,Claireview,5
318,67,0.12,4.14,425,East Abigail,9
241,26,0.09,2.71,672,East Rodgerview,6
95,60,0.11,2.32,102,New Edmund,8
291,48,0.11,3.34,831,South Providencifort,5
287,64,0.10,4.68,339,North Herminio,2
131,23,0.11,3.28,190,South Rodrick,4
170,80,0.09,3.22,677,Bodeview,7
177,68,0.10,2.69,950,Port Leola,10
285,57,0.09,2.3,528,North Susantown,10
265,28,0.11,4.24,829,Johnsland,9
187,28,0.09,1.03,406,Larsonside,9
307,43,0.12,4.78,891,East Tavares,10
350,56,0.09,2.01,654,Maggiostad,10
74,79,0.09,1.07,438,Garrytown,10
183,61,0.12,0.38,465,Darricktown,3
194,24,0.09,3.57,944,New Johnson,9
171,43,0.10,0.2,282,Marvinstad,4
214,71,0.11,1.21,439,Deonberg,6
139,47,0.11,0.38,260,Lurlineburgh,3
302,67,0.08,3.94,651,South Verniehaven,5
70,33,0.10,2.75,432,Gerhardport,9
109,63,0.09,3.91,71,Sammystad,10
142,77,0.08,2.85,930,New Carlibury,7
340,52,0.10,2.58,827,Ziemeside,5
129,80,0.10,2.66,872,Deetown,3
204,80,0.12,4.54,957,Beahanport,7
327,66,0.12,2.11,482,Nedraborough,3
202,46,0.10,4.86,552,Littelstad,6
315,52,0.12,1.02,735,New Armandport,4
191,80,0.09,2.68,766,South Estell,10
116,46,0.11,2.78,20,Janebury,2
109,53,0.10,3.77,442,Port River,4
235,45,0.12,0.73,874,South Jaeden,4
234,72,0.12,2.46,606,Port Betsyberg,8
263,51,0.09,2.42,544,Ashleeton,6
163,59,0.11,1.71,101,Reinaside,7
256,65,0.12,0.46,635,Monahanmouth,4
155,67,0.10,0.1,759,Merleport,10
256,79,0.12,2.27,693,Toymouth,4
119,59,0.11,4.53,550,Nolanmouth,6
345,60,0.11,0.17,714,North Oren,6
306,54,0.12,1.7,358,Maggioberg,6
72,60,0.10,2.63,765,Karamouth,7
78,33,0.12,0.75,853,East Floy,6
169,75,0.10,0.77,890,North Kingmouth,5
206,76,0.11,0.43,858,Gavinfort,7
289,44,0.09,4.04,559,Pollichchester,2
343,34,0.11,2.31,95,Ocieborough,10
151,72,0.09,0.38,744,Andreshaven,8
281,70,0.08,3.69,47,Lake Maraside,2
176,51,0.09,1.08,130,Conradville,4
324,21,0.11,1.28,791,Lake Myron,7
282,59,0.08,0.43,570,Spencerborough,8
188,44,0.11,2.93,531,Lake Jovanny,2
85,66,0.11,4.06,284,North Dayton,2
359,21,0.09,4.37,834,Karifurt,7
328,38,0.08,0.81,347,Port Isabellechester,4
236,56,0.11,4.32,695,Abshirebury,5
147,74,0.12,2.71,354,Steuberchester,4
280,70,0.08,1.81,907,East Cindy,2
355,63,0.12,4.49,8,North Weldon,7
197,37,0.08,2.33,345,Wilbershire,5
151,76,0.09,1.96,358,Karinefort,10
88,36,0.08,2.05,89,Reicherthaven,4
351,21,0.12,0.07,737,Willowborough,3
123,72,0.08,0.94,501,Gutmannville,3
127,25,0.12,1.04,284,South Ned,7
89,44,0.12,0.52,594,Lake Asiaberg,7
236,41,0.08,2.63,690,Tremayneside,10
348,61,0.1,0.01,251,Graysonfort,10
93,63,0.10,4.97,407,Lockmanton,10
294,27,0.10,2.85,779,Gleichnerberg,3
248,60,0.11,1.95,22,New Rubymouth,10
273,38,0.12,0.97,368,Teaganchester,6
317,75,0.10,3.63,74,Port Maritzabury,10
159,25,0.08,3.99,984,Bennybury,7
74,45,0.11,1.3,468,West Terrill,10
181,40,0.12,2.27,156,North Joesphport,10
267,54,0.12,3.57,742,New Fay,10
92,24,0.11,3.16,980,North Mina,5
92,41,0.08,0.25,233,Vedachester,3
357,70,0.10,3.02,897,Kirlinstad,3
229,33,0.10,4.04,930,Port Emilyberg,10
103,44,0.09,3.89,521,Lake Oscarstad,3
271,29,0.12,0.42,130,Clayborough,3
254,61,0.09,4.56,16,Toneychester,6
68,68,0.10,3.44,416,Port Brennanfort,8
81,48,0.10,0.49,424,New Norval,6
278,70,0.10,1.37,202,Donatoview,2
345,59,0.11,4.42,903,Mayerton,2
177,77,0.11,0.82,936,Kuhnton,8
255,21,0.11,1.01,955,Lake Devante,6
321,48,0.11,3.75,57,South Tyresemouth,6
137,26,0.08,1.19,434,South Easterside,9
104,69,0.12,0.14,958,New Ethelfort,9
239,33,0.08,2.05,718,Port Cullen,6
202,71,0.08,2.02,265,East Constantin,10
203,50,0.11,1.04,924,South Haileeview,4
196,65,0.08,3.1,699,Dietrichton,2
329,62,0.10,3.21,729,East Jodie,6
339,73,0.12,4.31,648,West Michealmouth,4
285,60,0.10,1.9,363,East Ollie,8
282,68,0.11,1.04,273,Mayertfurt,6
338,58,0.10,3.56,624,South Johnniechester,8
167,76,0.12,3.05,177,West Torrancehaven,10
88,39,0.10,1.94,765,Randallmouth,10
199,79,0.10,2.79,859,Kamronmouth,9
244,26,0.11,1.12,377,Turcottestad,4
195,50,0.11,3.47,817,North Stephanie,9
90,77,0.12,0.4,616,Lake Louveniaview,9
291,66,0.13,0.24,352,Port Winnifred,9
89,31,0.13,2.2,173,Cronaport,7
202,68,0.11,1.08,491,West Arnoldomouth,4
65,37,0.11,4.1,55,Port Hardyland,4
202,36,0.08,2.78,792,Gabrielfurt,5
247,25,0.11,2.65,664,West Velma,9
124,30,0.08,4.74,122,Eliseton,8
291,44,0.12,0.99,201,Robertsside,9
87,74,0.08,1.17,40,East Treytown,7
161,42,0.12,1.61,479,East Natmouth,2
96,70,0.09,2.18,490,Martinville,5
232,67,0.08,0.01,603,South Danebury,9
350,63,0.10,4.11,505,Lake Victor,5
141,55,0.12,0.96,920,Joanniechester,6
172,22,0.12,4.17,198,West Marieburgh,8
223,66,0.11,3.63,290,Lake Sigurd,8
93,30,0.12,1.9,598,Hodkiewiczstad,7
349,56,0.10,0.62,91,Ewellmouth,10
201,48,0.09,0.36,787,East Theresaberg,2
331,65,0.09,2.94,671,Lake Freda,8
153,32,0.08,1.42,206,Stefanchester,2
281,35,0.11,0.32,578,North Evert,9
145,53,0.12,3.11,14,New Haylie,2
155,73,0.09,3.27,14,Port Benchester,3
147,34,0.08,2.96,757,North Moriahside,6
215,46,0.08,2.71,451,North Aprilport,7
329,70,0.09,1.5,122,Port Amelyfort,2
183,73,0.13,0.66,429,Jamieville,6
150,59,0.12,1.58,585,Port Mabelle,4
206,37,0.08,0.81,3,Justonmouth,5
62,37,0.08,0.85,82,Audramouth,10
255,47,0.09,2.87,374,Leonehaven,6
176,40,0.12,3.49,877,Port Delores,2
351,49,0.09,3.27,486,South Waldofurt,4
334,75,0.11,3.34,786,North Darren,4
191,58,0.1,4.11,33,Sandrabury,8
69,79,0.09,4.1,268,Johnsonfort,9
331,51,0.08,3.96,451,East Jettfort,2
226,36,0.1,1.46,944,Port David,10
99,57,0.08,2.73,97,Nicolaschester,4
354,33,0.08,1.78,246,Antoniaton,5
296,50,0.08,2.53,12,South Carmel,5
184,49,0.09,4.89,96,Brownside,9
130,30,0.09,1.41,284,South Damonshire,2
87,47,0.09,3.11,981,Skylarville,8
116,24,0.09,2.43,22,New Toby,2
318,71,0.1,1.59,801,Lizamouth,7
167,56,0.10,0.87,260,Stehrburgh,6
198,61,0.12,4.04,111,New Otiliaport,7
332,29,0.12,3.93,264,Faheyview,4
219,65,0.10,0.3,108,Lavonneborough,4
314,22,0.11,0.26,858,North Callieside,6
286,78,0.09,1.92,904,Lake Burleyfurt,3
316,75,0.09,1.43,603,Leefort,10
222,42,0.12,3.71,96,Nienowbury,9
192,58,0.09,4.4,639,Hazlefurt,10
159,80,0.09,1.54,465,New Shyanne,10
357,34,0.1,3.88,877,Arturomouth,2
152,31,0.10,0.21,255,Libbiemouth,5
103,48,0.11,4.29,303,Kadinside,6
339,31,0.09,2.03,776,Port Tamara,2
303,21,0.11,0.63,43,Wildermanborough,8
279,30,0.09,1.7,420,New Fabianbury,5
169,68,0.09,1.65,960,South Jessyfort,9
81,25,0.11,3.58,258,Barrowsmouth,9
69,21,0.09,2.23,407,Lake Bettyborough,7
346,54,0.08,0.85,198,East Whitneyport,9
197,44,0.09,1.26,746,Lake Shaniyaside,8
353,45,0.12,3.56,107,Evelinetown,6
358,55,0.08,3.52,725,Melodyfort,10
273,51,0.10,4.15,173,Lake Troyfurt,7
305,35,0.08,2.15,655,Port Kellyfurt,7
292,75,0.12,2.55,370,Metzchester,5
142,53,0.11,0.98,68,Rowechester,8
334,25,0.11,1.04,369,South Elvis,9
197,80,0.12,2.3,805,Johnsonmouth,4
244,80,0.10,4.14,714,Amaraview,10
99,65,0.11,0.83,861,Port Kaden,6
322,56,0.08,3.37,95,Shirleymouth,3
145,33,0.10,4.68,676,Genesishaven,9
102,56,0.10,1.89,859,Rodriguezshire,9
86,21,0.1,1.48,656,Lake Jane,8
223,75,0.10,2.42,622,Larryton,9
266,68,0.09,3.36,23,East Zachery,7
127,77,0.10,2.26,143,West Doyle,6
237,25,0.08,4.08,332,South Margotborough,10
259,73,0.08,4.58,544,Weimannstad,7
344,77,0.09,2.16,49,North Felixstad,7
100,48,0.12,4.78,384,Kassulkeport,8
81,76,0.09,4.08,509,Paucekburgh,9
97,51,0.10,3.46,796,Port Shanon,5
298,67,0.08,1.45,228,New Sadie,8
95,80,0.09,4.91,348,Jastside,5
99,65,0.1,1.52,139,South Carleton,8
319,62,0.09,0.71,812,West Ruben,7
358,21,0.12,2.1,999,Lake Fletamouth,6
77,29,0.10,0.79,543,East Vicenta,2
164,65,0.09,2.04,285,Lake Efrain,6
320,74,0.08,1.03,368,Gutmannside,6
276,73,0.09,2.66,504,Rafaelview,7
308,24,0.1,2.22,266,Stammport,3
286,66,0.11,4.1,456,New Rowena,9
263,34,0.10,2.71,915,Patsyborough,10
247,65,0.09,0.35,435,Dooleyside,10
194,21,0.08,0.69,82,Feestfurt,2
189,40,0.10,2.33,924,West Rodolfo,8
231,26,0.11,4.95,697,North Anikaville,3
247,27,0.09,2.58,888,Jordonside,9
107,39,0.09,4.65,841,Koreyville,7
183,32,0.10,0.78,370,Alexandrehaven,7
311,47,0.12,3.75,575,Hettingerberg,5
343,70,0.09,2,434,Emmaleeview,2
215,31,0.10,4.93,451,West Reaganburgh,3
360,76,0.09,1.76,959,Lake Lelah,6
120,51,0.12,1.38,706,West Gretchen,4
75,43,0.12,4.84,761,Clarissashire,10
138,31,0.09,2.5,760,West Hymanberg,9
341,64,0.11,2.18,42,Robelborough,3
239,23,0.09,0.16,211,New Einar,10
196,68,0.12,2.82,2,Port Israelland,6
242,60,0.12,2.79,884,Port Ellieburgh,9
328,44,0.12,0.92,54,Strosinton,8
253,27,0.12,1.92,51,Jaquelinstad,2
332,75,0.08,0.81,198,Jedidiahmouth,5
237,30,0.1,1.22,697,New Myrtiemouth,5
127,21,0.11,1.8,470,Smithville,6
118,23,0.11,3.21,764,Brycebury,2
282,80,0.10,1.46,251,Sawaynshire,6
277,45,0.08,2.29,943,Roweburgh,5
228,70,0.08,1.64,303,Rudyberg,6
84,79,0.11,1.68,551,South Juliemouth,6
65,21,0.12,4.29,83,North Elyssahaven,9
263,29,0.10,1.8,375,South Hortense,7
170,26,0.10,2.02,451,Desireeshire,8
140,33,0.12,4.46,801,Blickside,3
152,74,0.11,3.15,318,Lake Nayeli,7
109,28,0.09,3.59,347,New Peggiefort,4
258,59,0.10,4.93,836,Wolffhaven,10
277,47,0.11,0.55,879,East Leonorchester,9
321,79,0.09,4.5,47,North Aureliohaven,10
121,23,0.09,3.68,99,Crookston,8
285,45,0.10,3.04,666,Leonieborough,2
354,77,0.08,0.45,528,Tannermouth,9
70,44,0.09,3,219,Dorismouth,3
332,40,0.08,1.37,696,North Gracielafurt,7
294,56,0.1,2.02,152,West Rogerberg,6
163,55,0.11,0.5,85,East Estelleside,5
89,25,0.11,3.5,157,East Hugh,4
288,27,0.08,3.78,225,Margaretemouth,8
205,23,0.08,3.05,590,New Maiahaven,6
79,25,0.11,2.61,226,Fritschshire,6
273,48,0.10,2.53,835,Schulistborough,8
98,23,0.09,3.49,741,Constanceburgh,7
175,70,0.11,1.85,273,Goyetteview,3
141,65,0.11,4.96,48,Rennerport,7
155,39,0.10,3.85,953,New Kathleenstad,5
97,35,0.11,2.11,923,Sophieborough,8
229,38,0.10,2.26,657,Leonorfort,10
73,67,0.08,1.33,965,Hayestown,3
258,36,0.10,3.81,411,Hodkiewiczchester,4
134,46,0.12,1.6,2,Armstrongmouth,5
312,75,0.08,2.26,618,North Antoinettehaven,4
192,76,0.10,1.32,492,North Angeloton,5
110,57,0.10,3.26,88,East Camillemouth,5
320,62,0.1,2.32,953,Raufort,7
170,64,0.09,1.82,930,Stammchester,9
113,44,0.12,1.66,737,Annabelhaven,5
76,75,0.08,4.45,172,West Elmofort,4
228,68,0.12,2.92,538,Lehnerside,2
211,50,0.11,2.7,683,Ebertton,7
280,56,0.12,2.77,892,Lake Raymundotown,2
262,68,0.10,4.34,914,Neilstad,2
263,76,0.11,2.03,203,New Miguelbury,10
115,40,0.11,3.76,895,Lake Jackyburgh,4
145,72,0.11,3.02,666,Roobfurt,7
359,32,0.12,2.58,848,Nienowchester,4
283,49,0.09,2.93,254,New Owenton,2
134,47,0.11,1.87,354,Jermaintown,6
111,67,0.11,0.06,462,North Marion,3
202,27,0.10,0.23,888,East Emma,9
322,54,0.09,0.61,880,East Vivian,3
329,23,0.08,2.63,943,Bahringermouth,2
122,47,0.09,4.73,426,Port Scot,9
301,49,0.09,2.06,348,Ornburgh,3
333,61,0.1,3.57,344,South Leone,7
202,26,0.12,2.84,281,Dannyside,6
129,31,0.10,4.7,452,Michaleberg,7
68,30,0.08,4.61,198,New Camden,3
108,51,0.10,0.07,57,Yesseniamouth,4
261,43,0.09,2.41,673,Gertrudetown,3
332,52,0.08,0.66,682,Loweborough,9
298,22,0.09,3.61,173,North Maryfurt,3
349,36,0.11,2.85,358,South Linda,3
242,74,0.11,3.5,25,New Richieberg,7
192,42,0.12,3.52,254,New Madisenbury,3
306,34,0.10,0.62,985,North Floyd,7
263,54,0.09,1.12,245,Lake Imeldamouth,9
222,39,0.08,2.82,973,South Gwen,7
283,23,0.09,4.7,916,Lake Devin,5
321,70,0.08,4.07,266,Port Kiaraberg,4
213,56,0.11,2.18,760,Port Briannehaven,7
149,32,0.10,3.39,329,South Lesleyfort,7
229,34,0.11,1.77,797,Olsonhaven,8
290,72,0.10,1.26,997,New Santinoside,6
298,33,0.09,2.07,258,Lake Deanna,10
326,75,0.09,4.57,829,Port Rocky,7
152,78,0.09,4.91,996,Lefflerville,8
108,26,0.12,4.47,872,Port Bernice,9
248,26,0.09,4.12,804,Wisokyville,8
132,47,0.12,0.53,240,Reubenmouth,2
189,80,0.12,2.03,534,Greenside,7
268,53,0.12,2.89,73,Alexanneburgh,7
80,45,0.08,4.52,613,Jaylenside,7
111,30,0.08,4.35,612,Assuntachester,8
66,34,0.11,3.19,833,South Mervinburgh,8
177,38,0.10,0.08,166,South Jett,5
318,28,0.08,3.75,296,Hagenesstad,10
199,70,0.09,4.17,358,East Addiebury,7
144,59,0.11,2.28,761,Bernhardville,9
242,53,0.12,1.9,923,Mossiehaven,7
212,75,0.09,0.59,913,East Oceane,10
141,66,0.09,4.59,722,Dickinsonmouth,7
166,60,0.11,2.59,888,Keelingchester,4
323,80,0.10,0.05,194,East Andreanne,9
246,62,0.09,3.4,130,South Rachelleville,8
337,49,0.11,2.86,164,Browntown,2
331,59,0.09,0.16,111,Kochchester,5
322,64,0.11,2.03,483,Angelaton,3
331,48,0.11,1.89,201,South Grantmouth,7
256,47,0.11,4.19,888,West Lonnie,7
240,23,0.09,0.06,657,Trantowport,8
263,54,0.09,3.21,515,Paulafort,5
128,58,0.08,4.22,341,East Gisselle,8
212,55,0.11,3.46,901,New Abdullah,4
150,37,0.09,0.25,236,Konopelskiborough,2
337,42,0.09,4.98,551,South Rosella,3
151,45,0.10,0.4,306,Lake Fabiola,3
78,75,0.10,4.82,451,Framifurt,7
156,35,0.12,1.58,736,Olgachester,7
351,62,0.09,2.31,309,South Lafayettefurt,5
232,39,0.11,2.99,164,Lake Arely,2
218,70,0.09,3.88,930,South Marilou,8
186,27,0.08,4.55,222,East Milliemouth,10
62,65,0.08,4.13,640,Turcottefurt,3
347,57,0.09,0.75,111,North Eddiemouth,7
261,38,0.09,1.34,179,Aniyahchester,4
233,34,0.11,4.75,989,Phoebechester,7
311,31,0.08,2.31,826,New Rebekafurt,7
250,24,0.12,4.89,198,Larryshire,7
311,22,0.09,3.18,479,New Leopoldo,4
347,48,0.08,0.47,347,Ernestland,9
325,78,0.09,3.89,514,Lehnerside,7
128,29,0.13,2.22,754,Larkinport,7
98,47,0.1,1.86,185,Lake Dorianside,9
226,78,0.12,2.85,782,West Sarahton,2
105,45,0.11,1,693,Dickinsonstad,5
124,69,0.1,0.43,475,Eliasville,8
207,37,0.08,0.21,200,Schneiderchester,9
261,50,0.11,2.66,208,Port Felicita,6
255,58,0.10,3.22,612,East Sibyl,9
120,71,0.12,3.1,635,New Ettieborough,4
306,76,0.08,4.05,563,Larsonmouth,5
270,73,0.08,2.02,289,Beierborough,9
277,57,0.08,1.88,950,Roobton,10
127,36,0.12,0.82,21,Lefflerville,7
264,53,0.12,2.47,58,Lake Brannon,7
163,59,0.12,1.83,359,Dillonport,5
250,59,0.10,2.22,361,Lake Ursulamouth,8
186,68,0.09,1.91,951,Beahanbury,3
237,31,0.10,2.89,14,Jacyntheton,9
174,53,0.12,4.53,687,Eunaborough,8
138,74,0.09,0.25,689,East Zachariah,10
355,64,0.11,0.17,19,Selinaside,10
158,50,0.08,3.01,637,South Freidachester,7
143,29,0.08,4.04,880,Lutherfurt,9
67,61,0.1,2.08,396,Jenkinsfort,7
110,67,0.09,2.75,925,Wendyfurt,8
140,72,0.11,0.03,809,New Jairoville,6
87,33,0.12,0.19,333,West Taurean,4
120,25,0.09,1.66,211,North Katherinechester,5
351,49,0.08,0.74,540,Madelineberg,9
286,80,0.10,2.96,270,Leannhaven,3
183,33,0.12,0.75,341,New Alvahshire,8
71,78,0.08,3.69,240,Javonchester,6
71,68,0.10,2.3,2,Albastad,5
282,77,0.10,3.27,668,Lake Medafurt,7
200,68,0.11,2.81,728,New Jaedenfort,6
64,21,0.09,2.8,110,Satterfieldport,10
84,45,0.12,4.84,326,West Carlistad,2
163,63,0.09,2.05,769,Lonniehaven,2
184,66,0.10,0.07,692,North Clifford,9
262,26,0.08,4.15,650,Port Devanland,6
186,34,0.08,1.81,267,West Shaina,4
164,32,0.09,2.99,419,Creminport,9
320,32,0.11,0.7,523,North Zacharyside,5
252,62,0.12,3.82,454,Port Lauren,5
320,31,0.12,0.53,770,West Patricia,7
223,71,0.11,4.98,163,Luettgenview,8
261,52,0.12,1.01,153,Blandafort,9
315,69,0.09,0.28,514,Dorismouth,6
162,44,0.10,0.6,244,North Loriville,2
318,34,0.10,1.37,988,North Rhodashire,10
163,22,0.11,4.73,963,Oberbrunnerburgh,6
175,75,0.10,0.23,800,New Michealshire,5
134,62,0.10,2.77,1,South Raleighbury,5
357,48,0.11,1.24,644,Port Carlos,3
223,42,0.10,2.66,901,O'Connellton,8
308,32,0.09,3.63,147,Angelaport,7
148,70,0.12,2.15,763,West Ludwig,4
134,56,0.12,2.24,217,West Wadebury,4
149,39,0.09,0.48,988,Hilllborough,8
174,45,0.10,0.36,444,Morarview,4
345,41,0.11,2.61,959,North Tierratown,3
183,57,0.1,0.79,603,Mayraview,2
164,24,0.12,1.62,678,New Liastad,9
272,38,0.09,0.83,515,Lake Raoulchester,10
272,31,0.12,4.12,324,East Leda,7
212,33,0.08,3.88,956,East Jaquelin,2
302,37,0.12,4.14,757,New Skylaton,7
234,66,0.09,1.55,213,Lake Ada,3
198,72,0.09,3.04,354,Port Gabriella,8
293,53,0.11,2.54,176,Port Gussiefort,9
271,22,0.11,4.33,28,Lake Jordyberg,2
119,27,0.1,4.14,13,Mikelberg,9
94,58,0.09,0.13,671,Kathleenport,5
194,67,0.11,4.3,667,Dixiebury,5
326,62,0.10,2.38,477,West Flo,8
168,56,0.12,3.39,747,Homenickshire,2
123,43,0.11,4.8,751,East Jamalfurt,4
338,46,0.08,1.2,792,Jedville,2
174,42,0.12,2.16,231,South Kingside,6
276,64,0.08,1.54,730,Blandaberg,3
75,59,0.12,2.46,852,Manuelland,4
353,71,0.10,4.12,85,North Demarcusburgh,10
224,24,0.09,0.38,141,North Ryann,3
309,22,0.10,2.08,813,Verniemouth,6
114,23,0.11,3.46,859,Alexandrehaven,9
269,61,0.11,3.75,318,North Jan,6
329,26,0.09,1.4,689,West Hiramchester,7
235,65,0.11,3.55,412,Carissachester,3
114,33,0.09,1.32,191,Lake Miltonfort,10
156,38,0.09,3.45,542,Richiehaven,4
75,74,0.10,0.48,105,Prohaskaport,5
96,77,0.08,0.03,593,East Guy,7
293,72,0.10,0.28,372,South Patienceton,5
331,80,0.09,4.19,320,West Kristofer,3
348,69,0.08,2.72,941,Baileyside,6
243,28,0.11,2.46,553,Leannafort,4
303,27,0.10,3.95,462,Goyettefort,2
208,80,0.10,0.41,957,East Aletha,3
171,37,0.11,4.16,415,Lake Matildaport,3
236,21,0.12,1.02,341,North Leland,3
323,44,0.09,3.98,554,Jesstown,2
317,31,0.11,4.29,813,Lake Garrett,5
276,77,0.10,4.32,975,Nobleport,5
261,29,0.12,3.83,337,South Emmetton,7
314,38,0.08,3.2,317,Bartelltown,9
300,63,0.09,4.41,539,Kylershire,9
